~~~~~~~~~~~~G~~~~~~~
~~~~A~~~~~~~~~~~~Q~~
~~~~~~~~~~***~~~~~~~
~~***~~~F~~~**~~~~~~
~~~~~~~~~~~~~**~~~~~
~~M~~~***~~~~*~~~~H~
~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~P~~~~~~
S~~*~~~~E~~~~~~~~R*~
~~~~*~~~~~~~~~~~~~*~
~~~~*~~~~*~L~~~~~~*~
~~~~*~~~~*~~~~~~**~~
B~~~~D~~~*~~~~~O~~~~
~~~~~~~~~~~~~~~~~~~I
~~~~~~~**~~~~~~~~~~~
***~~*~~**~~~~~~~~~~
~~~~N~*~~~*~~~~~~~~~
~C~~~~~*~K~~~~~~**~~
~~~~~~~~~~~~~~~~~*~~
~~~~~~T~~~~~~~~~J*~~
1,4,8,7
2,4,9,6
3,4,7,8
4,5,6,10
5,2,10,10
6,3,6,8
7,8,4,5
8,6,6,6
9,7,5,8
10,8,9,4
11,5,7,9
12,3,6,12
13,4,10,7
14,5,9,8
15,6,8,7
16,7,7,7
17,6,6,5
18,5,7,9
19,4,8,8
20,5,7,9
